"email","comment","type"
"saivishnu.p@cognizant.com","I like the detailings of your context.","like"
"saivishnu.p@cognizant.com","Please add AI related details","recommendation"
"test@test","dis","dislike"
"saivishnu.p@cognizant.com","Please add GenAI related details ","recommendation"
"saivishnu.p@cognizant.com","Testing in 2025","like"
"test@test.com","test@test.com","dislike"
"","","recommendation"
"","","like"
"","","like"
"","","recommendation"
"","","like"
"","","like"
"","","like"
"faf","fsaf","like"
"fsaf","fasf","recommendation"
"fsafa@email.com","fasfa","recommendation"
"fasffa@gmail.com","fasf","dislike"
"fwaf@gmail.com","fasf","recommendation"
"fsaf@gmail.net","feafaf","recommendation"
"fsaf@gmail.com","fafafs","dislike"
"test@gmail.com","I love","like"
